iter	Passed	Remaining
0	264	26149
1	390	19126
2	519	16783
3	652	15649
4	759	14436
5	867	13588
6	970	12894
7	1103	12686
8	1252	12660
9	1401	12614
10	1525	12344
11	1638	12015
12	1734	11604
13	1839	11296
14	1946	11028
15	2039	10707
16	2133	10415
17	2256	10277
18	2380	10148
19	2498	9994
20	2597	9772
21	2701	9576
22	2815	9427
23	2932	9287
24	3034	9102
25	3141	8939
26	3257	8807
27	3410	8770
28	3535	8654
29	3642	8500
30	3753	8353
31	3880	8245
32	4004	8130
33	4108	7974
34	4225	7846
35	4353	7740
36	4486	7638
37	4588	7486
38	4679	7319
39	4782	7174
40	4884	7028
41	4987	6887
42	5106	6768
43	5202	6621
44	5326	6510
45	5433	6378
46	5532	6239
47	5629	6098
48	5728	5962
49	5820	5820
50	5913	5681
51	6006	5544
52	6094	5404
53	6215	5294
54	6362	5205
55	6514	5118
56	6635	5005
57	6741	4881
58	6879	4780
59	7000	4667
60	7103	4541
61	7204	4415
62	7316	4296
63	7420	4173
64	7519	4049
65	7604	3917
66	7701	3793
67	7795	3668
68	7919	3557
69	8056	3452
70	8184	3343
71	8317	3234
72	8432	3119
73	8541	3001
74	8629	2876
75	8735	2758
76	8849	2643
77	8954	2525
78	9122	2424
79	9247	2311
80	9430	2212
81	9553	2097
82	9689	1984
83	9796	1866
84	9893	1745
85	9995	1627
86	10101	1509
87	10203	1391
88	10321	1275
89	10476	1164
90	10603	1048
91	10751	934
92	10881	819
93	10987	701
94	11112	584
95	11246	468
96	11523	356
97	11719	239
98	11869	119
99	11997	0
