Nombre;Valoración
Agents of S.H.I.E.L.D.;9.6
Young Justice;9.6
The Flash;9.6
The Punisher;9.5
Agents of S.H.I.E.L.D.;9.5
Agents of S.H.I.E.L.D.;9.5
The Sandman;9.5
Smallville;9.5
Young Justice;9.5
Lucifer;9.5
Watchmen;9.5
The New Batman Adventures;9.4
Teen Titans;9.4
Smallville;9.4
Young Justice;9.4
Agents of S.H.I.E.L.D.;9.3
The Punisher;9.3
Agents of S.H.I.E.L.D.;9.3
Batman: The Animated Series;9.3
The New Batman Adventures;9.3
Justice League Unlimited;9.3
Smallville;9.3
Justice League Unlimited;9.3
Smallville;9.3
Young Justice;9.3
Young Justice;9.3
Young Justice;9.3
Young Justice;9.3
The Punisher;9.2
The Punisher;9.2
Agents of S.H.I.E.L.D.;9.2
Agents of S.H.I.E.L.D.;9.2
Agents of S.H.I.E.L.D.;9.2
Agents of S.H.I.E.L.D.;9.2
Agents of S.H.I.E.L.D.;9.2
Batman: Arkham Asylum;9.2
Batman: The Animated Series;9.2
Duck Dodgers;9.2
Justice League Unlimited;9.2
Justice League;9.2
Smallville;9.2
Smallville;9.2
Smallville;9.2
Young Justice;9.2
Young Justice;9.2
Young Justice;9.2
Lucifer;9.2
Lucifer;9.2
Gotham;9.2
Lucifer;9.2
Watchmen;9.2
WandaVision;9.1
Agents of S.H.I.E.L.D.;9.1
Agents of S.H.I.E.L.D.;9.1
Agents of S.H.I.E.L.D.;9.1
Agents of S.H.I.E.L.D.;9.1
Agents of S.H.I.E.L.D.;9.1
Agents of S.H.I.E.L.D.;9.1
Smallville Season 3 Promo;9.1
Batman: The Animated Series;9.1
Batman: The Animated Series;9.1
Batman: The Animated Series;9.1
Smallville;9.1
Smallville;9.1
Smallville;9.1
Smallville;9.1
Superman: The Animated Series;9.1
Smallville;9.1
Smallville;9.1
Young Justice;9.1
Young Justice;9.1
Young Justice;9.1
Gotham;9.1
The Flash;9.1
Gotham;9.1
Gotham;9.1
Gotham;9.1
Lucifer;9.1
Lucifer;9.1
Gotham;9.1
Gotham;9.1
Lucifer;9.1
Lucifer;9.1
Young Justice;9.1
Young Justice;9.1
The Flash;9.1
The Flash;9.1
Doom Patrol;9.1
WandaVision;9
Agents of S.H.I.E.L.D.;9
Agents of S.H.I.E.L.D.;9
Agents of S.H.I.E.L.D.;9
The Punisher;9
Agents of S.H.I.E.L.D.;9
Agents of S.H.I.E.L.D.;9
Agents of S.H.I.E.L.D.;9
The Dark Knight;9
Batman: The Animated Series;9
Body and Soul;9
Batman: The Animated Series;9
Batman: The Animated Series;9
Justice League;9
Justice League Unlimited;9
Justice League Unlimited;9
Smallville;9
Smallville;9
Smallville;9
Smallville;9
The Batman;9
Smallville;9
Krypto the Superdog;9
Smallville;9
Young Justice;9
Young Justice;9
Young Justice;9
Young Justice;9
Gotham;9
Gotham;9
Gotham;9
Gotham;9
Young Justice;9
Young Justice;9
Arrow;9
Gotham;9
Watchmen;9
Watchmen;9
WandaVision;8.9
WandaVision;8.9
Agents of S.H.I.E.L.D.;8.9
Agents of S.H.I.E.L.D.;8.9
Agents of S.H.I.E.L.D.;8.9
The New Batman Adventures;8.9
Justice League;8.9
Justice League Unlimited;8.9
Justice League;8.9
Smallville;8.9
Smallville;8.9
Smallville;8.9
Smallville;8.9
Lucifer;8.9
Lucifer;8.9
Lucifer;8.9
Young Justice;8.9
Young Justice;8.9
Young Justice;8.9
Gotham;8.9
Gotham;8.9
DC's Legends of Tomorrow;8.9
Doom Patrol;8.9
Agents of S.H.I.E.L.D.;8.8
The Punisher;8.8
Agents of S.H.I.E.L.D.;8.8
The Falcon and the Winter Soldier;8.8
Agents of S.H.I.E.L.D.;8.8
Batman: The Animated Series;8.8
Batman: The Animated Series;8.8
Justice League;8.8
Justice League;8.8
Justice League;8.8
Smallville;8.8
Smallville;8.8
Smallville;8.8
Smallville;8.8
Smallville;8.8
Smallville;8.8
Smallville;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Lucifer;8.8
Lucifer;8.8
Gotham;8.8
Lucifer;8.8
Lucifer;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Young Justice;8.8
Supergirl;8.8
Gotham;8.8
Gotham;8.8
Doom Patrol;8.8
Doom Patrol;8.8
Watchmen;8.8
WWE 24;8.7
Agents of S.H.I.E.L.D.;8.7
Agents of S.H.I.E.L.D.;8.7
The Punisher;8.7
The Punisher;8.7
Agents of S.H.I.E.L.D.;8.7
Agents of S.H.I.E.L.D.;8.7
Agents of S.H.I.E.L.D.;8.7
Agents of S.H.I.E.L.D.;8.7
Agents of S.H.I.E.L.D.;8.7
Justice League Unlimited;8.7
DC Fandome;8.7
Batman Beyond;8.7
Batman: The Animated Series;8.7
Batman: The Animated Series;8.7
Batman: The Animated Series;8.7
Batman: The Animated Series;8.7
Batman: The Animated Series;8.7
The New Batman Adventures;8.7
Justice League;8.7
Justice League Unlimited;8.7
Justice League;8.7
Smallville;8.7
Smallville;8.7
Smallville;8.7
Smallville;8.7
Smallville;8.7
Smallville;8.7
Smallville;8.7
Teen Titans;8.7
Teen Titans;8.7
Justice League Unlimited;8.7
The Batman;8.7
Smallville;8.7
Smallville;8.7
Krypto the Superdog;8.7
Young Justice;8.7
Young Justice;8.7
Young Justice;8.7
Young Justice;8.7
Gotham;8.7
Lucifer;8.7
Lucifer;8.7
Supergirl;8.7
Lucifer;8.7
Young Justice;8.7
Young Justice;8.7
Gotham;8.7
Arrow;8.7
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
The Punisher;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Agents of S.H.I.E.L.D.;8.6
Young Justice;8.6
Batman Beyond;8.6
Batman Beyond;8.6
Batman: The Animated Series;8.6
