ID,Movie,Year,Genre,RunTime,Description,IMDB_Score
3,WandaVision,-2021,"Action,Comedy,Drama",350 min,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.",8.1
6,Avengers: Endgame,-2019,"Action,Adventure,Drama",181 min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4
7,Guardians of the Galaxy,-2014,"Action,Adventure,Comedy",121 min,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8
9,Spider-Man: Far from Home,-2019,"Action,Adventure,Sci-Fi",129 min,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5
10,Thor: Ragnarok,-2017,"Action,Adventure,Comedy",130 min,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9
11,Avengers: Infinity War,-2018,"Action,Adventure,Sci-Fi",149 min,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4
12,Black Panther,-2018,"Action,Adventure,Sci-Fi",134 min,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3
15,Spider-Man: Homecoming,-2017,"Action,Adventure,Sci-Fi",133 min,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4
16,Avengers: Age of Ultron,-2015,"Action,Adventure,Sci-Fi",141 min,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3
18,Guardians of the Galaxy Vol. 2,-2017,"Action,Adventure,Comedy",136 min,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6
20,Iron Man,-2008,"Action,Adventure,Sci-Fi",126 min,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9
21,Captain America: Civil War,-2016,"Action,Adventure,Sci-Fi",147 min,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8
22,The Avengers,-2012,"Action,Adventure,Sci-Fi",143 min,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8
27,Captain America: The Winter Soldier,-2014,"Action,Adventure,Sci-Fi",136 min,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7
28,Iron Man 3,-2013,"Action,Adventure,Sci-Fi",130 min,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1
32,Iron Man 2,-2010,"Action,Adventure,Sci-Fi",124 min,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7
394,The Dark Knight,-2008,"Action,Crime,Drama",152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9
395,Watchmen,-2009,"Action,Drama,Mystery",162 min,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",7.6
399,The Dark Knight Rises,-2012,"Action,Adventure",164 min,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4
403,Watchmen,-2019,"Action,Drama,Mystery",527 min,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",8.2
404,Man of Steel,-2013,"Action,Adventure,Sci-Fi",143 min,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",7
405,Shazam!,-2019,"Action,Adventure,Comedy",132 min,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7
408,Batman Begins,-2005,"Action,Adventure",140 min,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2
410,V for Vendetta,-2005,"Action,Drama,Sci-Fi",132 min,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.1
411,Batman,-1989,"Action,Adventure",126 min,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5
416,Constantine,-2005,"Action,Fantasy,Horror",121 min,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7
418,Superman,-1978,"Action,Adventure,Drama",143 min,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.3
423,Batman Returns,-1992,"Action,Crime,Fantasy",126 min,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7
481,Batman Beyond: The Movie,(1999 TV Movie),"Animation,Sci-Fi,Action",132 min,"Decades after the retirement of Bruce Wayne as Batman, a boy dons the identity to avenge his own father's murder.",7.8
